"[10, 20, 'UD', 'D-RAND', '0.5', 'S-DIST', 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.014630794525146484
"[10, 20, 'UD', 'D-RAND', '0.5', 'S-DIST', 2]","[3, 4, 0, 0, 0, 0, 3, 0, 0, 4, 0, 0, 0, 7, 3, 0, 0, 0, 1, 4]",0.04633307456970215
"[10, 20, 'UD', 'D-RAND', '0.5', 'S-DIST', 3]","[0, 0, 0, 2, 0, 2, 2, 0, 1, 1, 2, 0, 2, 0, 0, 1, 0, 2, 4, 0]",0.03925299644470215
"[10, 20, 'UD', 'D-RAND', '0.5', 'S-RAND', 1]","[6, 7, 8, 2, 2, 0, 8, 0, 0, 2, 7, 4, 4, 6, 0, 0, 0, 0, 1, 0]",0.08840727806091309
"[10, 20, 'UD', 'D-RAND', '0.5', 'S-RAND', 2]","[0, 0, 1, 0, 0, 2, 5, 0, 2, 0, 0, 6, 2, 0, 6, 6, 0, 0, 0, 6]",0.04386639595031738
"[10, 20, 'UD', 'D-RAND', '0.5', 'S-RAND', 3]","[0, 5, 0, 1, 1, 0, 5, 4, 5, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0]",0.03987431526184082
"[10, 20, 'UD', 'D-RAND', '1', 'S-AVG', 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005164623260498047
"[10, 20, 'UD', 'D-RAND', '1', 'S-AVG', 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004019260406494141
"[10, 20, 'UD', 'D-RAND', '1', 'S-AVG', 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003484487533569336
"[10, 20, 'UD', 'D-RAND', '1', 'S-DIST', 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0]",0.019559144973754883
